ts,chain,script,iter,pass,fail,skip,duration_s
2026-05-10T16:02:10,testnet,09-oracle.sh,2,7,0,0,5
2026-05-10T16:02:12,testnet,10-notarize-sub.sh,2,3,0,0,2
2026-05-10T16:02:15,testnet,11-escrow-channels.sh,2,2,0,0,2
2026-05-10T16:02:16,testnet,12-governance.sh,2,2,0,0,1
2026-05-10T16:02:23,mainnet,01-chain-basic.sh,3,10,0,0,7
2026-05-10T16:02:27,mainnet,02-reputation.sh,3,13,0,0,4
2026-05-10T16:02:31,mainnet,03-stake-validators.sh,3,4,1,2,3
2026-05-10T16:02:34,mainnet,04-agents.sh,3,5,0,0,2
2026-05-10T16:02:37,mainnet,05-names.sh,3,6,0,2,3
2026-05-10T16:02:45,mainnet,06-exchange.sh,3,9,0,5,8
2026-05-10T16:02:48,mainnet,07-grid.sh,3,2,0,0,2
2026-05-10T16:02:51,mainnet,08-htlc-swap.sh,3,3,0,1,3
2026-05-10T16:02:56,mainnet,09-oracle.sh,3,7,0,0,5
2026-05-10T16:03:00,mainnet,10-notarize-sub.sh,3,3,0,0,4
2026-05-10T16:03:03,mainnet,11-escrow-channels.sh,3,2,0,0,3
2026-05-10T16:03:05,mainnet,12-governance.sh,3,2,0,0,2
2026-05-10T16:03:12,testnet,01-chain-basic.sh,3,10,0,0,6
2026-05-10T16:03:16,testnet,02-reputation.sh,3,13,0,0,4
2026-05-10T16:03:21,testnet,03-stake-validators.sh,3,4,1,2,4
2026-05-10T16:03:24,testnet,04-agents.sh,3,5,0,0,3
2026-05-10T16:03:28,testnet,05-names.sh,3,6,0,2,3
2026-05-10T16:03:35,testnet,06-exchange.sh,3,9,0,5,6
2026-05-10T16:03:37,testnet,07-grid.sh,3,2,0,0,2
2026-05-10T16:03:40,testnet,08-htlc-swap.sh,3,3,0,1,2
2026-05-10T16:03:45,testnet,09-oracle.sh,3,7,0,0,4
2026-05-10T16:03:47,testnet,10-notarize-sub.sh,3,3,0,0,2
2026-05-10T16:03:49,testnet,11-escrow-channels.sh,3,2,0,0,2
2026-05-10T16:03:51,testnet,12-governance.sh,3,2,0,0,2
2026-05-10T16:03:58,mainnet,01-chain-basic.sh,4,10,0,0,6
2026-05-10T16:04:01,mainnet,02-reputation.sh,4,13,0,0,3
2026-05-10T16:04:09,mainnet,03-stake-validators.sh,4,4,1,2,7
2026-05-10T16:04:12,mainnet,04-agents.sh,4,5,0,0,2
2026-05-10T16:04:15,mainnet,05-names.sh,4,6,0,2,3
2026-05-10T16:04:22,mainnet,06-exchange.sh,4,9,0,5,7
2026-05-10T16:04:24,mainnet,07-grid.sh,4,2,0,0,2
2026-05-10T16:04:27,mainnet,08-htlc-swap.sh,4,3,0,1,3
2026-05-10T16:04:32,mainnet,09-oracle.sh,4,7,0,0,5
2026-05-10T16:04:36,mainnet,10-notarize-sub.sh,4,3,0,0,4
2026-05-10T16:04:40,mainnet,11-escrow-channels.sh,4,2,0,0,3
2026-05-10T16:04:42,mainnet,12-governance.sh,4,2,0,0,1
2026-05-10T16:04:48,testnet,01-chain-basic.sh,4,10,0,0,6
2026-05-10T16:04:53,testnet,02-reputation.sh,4,13,0,0,4
2026-05-10T16:04:57,testnet,03-stake-validators.sh,4,4,1,2,3
2026-05-10T16:05:00,testnet,04-agents.sh,4,5,0,0,3
2026-05-10T16:05:04,testnet,05-names.sh,4,6,0,2,3
2026-05-10T16:05:11,testnet,06-exchange.sh,4,9,0,5,6
2026-05-10T16:05:13,testnet,07-grid.sh,4,2,0,0,2
2026-05-10T16:05:16,testnet,08-htlc-swap.sh,4,3,0,1,3
2026-05-10T16:05:21,testnet,09-oracle.sh,4,7,0,0,5
2026-05-10T16:05:24,testnet,10-notarize-sub.sh,4,3,0,0,3
2026-05-10T16:05:27,testnet,11-escrow-channels.sh,4,2,0,0,2
2026-05-10T16:05:29,testnet,12-governance.sh,4,2,0,0,1
2026-05-10T16:05:35,mainnet,01-chain-basic.sh,5,8,2,0,5
2026-05-10T16:05:38,mainnet,02-reputation.sh,5,13,0,0,3
2026-05-10T16:05:42,mainnet,03-stake-validators.sh,5,4,1,2,4
2026-05-10T16:05:45,mainnet,04-agents.sh,5,5,0,0,3
2026-05-10T16:05:50,mainnet,05-names.sh,5,6,0,2,4
2026-05-10T16:05:58,mainnet,06-exchange.sh,5,9,0,5,7
2026-05-10T16:06:00,mainnet,07-grid.sh,5,2,0,0,1
2026-05-10T16:06:03,mainnet,08-htlc-swap.sh,5,3,0,1,2
2026-05-10T16:06:07,mainnet,09-oracle.sh,5,7,0,0,4
2026-05-10T16:06:10,mainnet,10-notarize-sub.sh,5,3,0,0,3
2026-05-10T16:06:14,mainnet,11-escrow-channels.sh,5,2,0,0,2
2026-05-10T16:06:16,mainnet,12-governance.sh,5,2,0,0,1
2026-05-10T16:06:22,testnet,01-chain-basic.sh,5,10,0,0,5
2026-05-10T16:06:25,testnet,02-reputation.sh,5,13,0,0,3
2026-05-10T16:06:30,testnet,03-stake-validators.sh,5,4,1,2,4
2026-05-10T16:06:34,testnet,04-agents.sh,5,5,0,0,3
2026-05-10T16:06:37,testnet,05-names.sh,5,6,0,2,2
2026-05-10T16:06:44,testnet,06-exchange.sh,5,9,0,5,6
2026-05-10T16:06:46,testnet,07-grid.sh,5,2,0,0,2
2026-05-10T16:06:49,testnet,08-htlc-swap.sh,5,3,0,1,2
2026-05-10T16:06:55,testnet,09-oracle.sh,5,7,0,0,6
2026-05-10T16:06:58,testnet,10-notarize-sub.sh,5,3,0,0,3
2026-05-10T16:07:01,testnet,11-escrow-channels.sh,5,2,0,0,2
2026-05-10T16:07:03,testnet,12-governance.sh,5,2,0,0,2
